Data,SI,Sudut,m,n,Status,
372,0,2.92842,0.139738, -1.#IND, FALSE, 
373,0,2.91128,0.163605, -1.#IND, FALSE, 
374,0,2.89185,0.193889, -1.#IND, FALSE, 
375,0,2.87076,0.22975, -1.#IND, FALSE, 
376,0,2.84743,0.274205, -1.#IND, FALSE, 
377,0,2.82211,0.327883, -1.#IND, FALSE, 
378,0,2.795,0.39112, -1.#IND, FALSE, 
379,0,2.76624,0.469472, -1.#IND, FALSE, 
380,0,2.73458,0.568443, -1.#IND, FALSE, 
381,0,2.70076,0.688313, -1.#IND, FALSE, 
382,0,2.6673,0.826857, -1.#IND, FALSE, 
383,0,2.63015,1.00363, -1.#IND, FALSE, 
384,0,2.58895,1.22622, -1.#IND, FALSE, 
385,0,2.54115,1.51735, -1.#IND, FALSE, 
386,0,2.49194,1.86306, -1.#IND, FALSE, 
387,0,2.43803,2.29185, -1.#IND, FALSE, 
388,0,2.38124,2.80999, -1.#IND, FALSE, 
389,0,0.820718,3.42881, -1.#IND, FALSE, 
390,0,0.88284,4.12559, -1.#IND, FALSE, 
391,0,0.948429,4.89597, -1.#IND, FALSE, 
392,0,1.0161,5.74138, -1.#IND, FALSE, 
393,0,2.06124,6.56071, -1.#IND, FALSE, 
394,0,1.99944,7.38126, -1.#IND, FALSE, 
395,0,1.9411,8.19087, -1.#IND, FALSE, 
396,0,1.88586,8.93017, -1.#IND, FALSE, 
397,0,1.83596,9.64748, -1.#IND, FALSE, 
398,0,1.7887,10.2285, -1.#IND, FALSE, 
399,0,1.74568,10.7948, -1.#IND, FALSE, 
400,0,1.70619,11.329, -1.#IND, FALSE, 
401,0,1.66911,11.8211, -1.#IND, FALSE, 
402,0,1.63344,12.3427, -1.#IND, FALSE, 
403,0,1.59959,12.7675, -1.#IND, FALSE, 
404,0,1.56662,13.1708, -1.#IND, FALSE, 
405,0,1.53481,13.3817, -1.#IND, FALSE, 
406,0,1.50217,13.6385, -1.#IND, FALSE, 
407,0,1.4696,13.8508, -1.#IND, FALSE, 
408,0,1.43563,14.1018, -1.#IND, FALSE, 
409,0,1.39974,14.2463, -1.#IND, FALSE, 
410,0,1.3626,14.2944, -1.#IND, FALSE, 
411,0,1.32349,14.224, -1.#IND, FALSE, 
412,0,1.28029,14.0503, -1.#IND, FALSE, 
413,0,1.23483,13.6959, -1.#IND, FALSE, 
414,0,1.1907,13.1441, -1.#IND, FALSE, 
415,0,2.00304,12.4371, -1.#IND, FALSE, 
416,0,2.06383,11.5094, -1.#IND, FALSE, 
417,0,2.13933,10.2596, -1.#IND, FALSE, 
418,0,2.2223,8.77246, -1.#IND, FALSE, 
419,0,2.31769,7.04991, -1.#IND, FALSE, 
