Data,STATUS,SI,
629,TRUE,1.94973, 
630,TRUE,1.94455, 
631,TRUE,1.93965, 
632,TRUE,1.93514, 
633,TRUE,1.93069, 
634,TRUE,1.92714, 
635,TRUE,1.92465, 
636,TRUE,1.92224, 
637,TRUE,1.92075, 
638,TRUE,1.91982, 
639,TRUE,1.91979, 
640,TRUE,1.92104, 
641,TRUE,1.92228, 
642,TRUE,1.92406, 
643,TRUE,1.9263, 
644,TRUE,1.93018, 
645,TRUE,1.93474, 
646,TRUE,1.9408, 
647,TRUE,1.94777, 
648,TRUE,1.955, 
649,TRUE,1.96265, 
650,TRUE,1.97102, 
651,TRUE,1.97972, 
652,TRUE,1.9886, 
653,TRUE,1.99764, 
654,TRUE,2.00663, 
655,TRUE,2.01567, 
656,TRUE,2.0247, 
657,TRUE,2.03336, 
658,TRUE,2.04209, 
659,TRUE,2.05022, 
660,TRUE,2.05799, 
661,TRUE,2.06585, 
662,TRUE,2.07298, 
663,TRUE,2.07987, 
664,TRUE,2.08647, 
665,TRUE,2.09153, 
666,TRUE,2.09622, 
667,TRUE,2.10072, 
668,TRUE,2.10456, 
669,TRUE,2.10741, 
670,TRUE,2.11029, 
671,TRUE,2.11287, 
672,TRUE,2.11528, 
673,TRUE,2.11664, 
674,TRUE,2.11755, 
675,TRUE,2.11798, 
676,TRUE,2.11752, 
677,TRUE,2.11613, 
678,TRUE,2.11489, 
679,TRUE,2.11357, 
680,TRUE,2.11158, 
681,TRUE,2.10924, 
682,TRUE,2.10629, 
683,TRUE,2.10325, 
684,TRUE,2.1003, 
685,TRUE,2.09712, 
686,TRUE,2.09399, 
687,TRUE,2.09061, 
688,TRUE,2.08736, 
689,TRUE,2.08426, 
690,TRUE,2.08131, 
691,TRUE,2.07742, 
692,TRUE,2.07306, 
693,TRUE,2.0674, 
694,TRUE,2.06157, 
695,TRUE,2.05521, 
696,TRUE,2.04837, 
697,TRUE,2.04134, 
698,TRUE,2.0346, 
699,TRUE,2.02863, 
700,TRUE,2.0229, 
701,TRUE,2.01793, 
702,TRUE,2.01333, 
703,TRUE,2.00895, 
704,TRUE,2.0049, 
705,TRUE,2.00155, 
706,TRUE,1.99899, 
707,TRUE,1.99747, 
708,TRUE,1.99644, 
709,TRUE,1.99645, 
710,TRUE,1.99731, 
711,TRUE,1.99782, 
712,TRUE,1.99936, 
713,TRUE,2.00201, 
714,TRUE,2.00566, 
715,TRUE,2.01013, 
716,TRUE,2.01613, 
717,TRUE,2.02297, 
718,TRUE,2.03084, 
719,TRUE,2.03956, 
720,TRUE,2.04886, 
721,TRUE,2.05881, 
722,TRUE,2.06903, 
723,TRUE,2.07964, 
724,TRUE,2.0904, 
725,TRUE,2.10114, 
726,TRUE,2.11178, 
727,TRUE,2.12261, 
728,TRUE,2.13333, 
729,TRUE,2.14332, 
730,TRUE,2.15287, 
731,TRUE,2.16204, 
732,TRUE,2.17061, 
733,TRUE,2.17876, 
734,TRUE,2.18632, 
735,TRUE,2.19383, 
736,TRUE,2.20059, 
737,TRUE,2.20637, 
738,TRUE,2.21181, 
739,TRUE,2.21611, 
740,TRUE,2.21998, 
741,TRUE,2.22397, 
742,TRUE,2.22728, 
743,TRUE,2.23015, 
744,TRUE,2.23215, 
745,TRUE,2.23333, 
746,TRUE,2.23435, 
747,TRUE,2.23394, 
748,TRUE,2.23442, 
749,TRUE,2.23422, 
750,TRUE,2.23332, 
751,TRUE,2.23157, 
752,TRUE,2.22884, 
753,TRUE,2.22504, 
754,TRUE,2.22209, 
755,TRUE,2.2181, 
756,TRUE,2.21314, 
757,TRUE,2.2081, 
758,TRUE,2.20295, 
759,TRUE,2.19823, 
760,TRUE,2.19364, 
761,TRUE,2.18886, 
762,TRUE,2.18355, 
763,TRUE,2.1781, 
764,TRUE,2.17256, 
765,TRUE,2.16807, 
766,TRUE,2.16326, 
767,TRUE,2.15748, 
768,TRUE,2.15145, 
769,TRUE,2.14529, 
770,TRUE,2.13899, 
771,TRUE,2.13272, 
772,TRUE,2.12676, 
773,TRUE,2.12057, 
774,TRUE,2.11501, 
775,TRUE,2.10995, 
776,TRUE,2.10566, 
777,TRUE,2.10254, 
778,TRUE,2.10013, 
779,TRUE,2.0981, 
780,TRUE,2.09696, 
781,TRUE,2.097, 
782,TRUE,2.09769, 
783,TRUE,2.09911, 
784,TRUE,2.10099, 
785,TRUE,2.10349, 
786,TRUE,2.10802, 
787,TRUE,2.11361, 
788,TRUE,2.1198, 
789,TRUE,2.12728, 
790,TRUE,2.13573, 
791,TRUE,2.1447, 
792,TRUE,2.15412, 
793,TRUE,2.16355, 
794,TRUE,2.17294, 
795,TRUE,2.18271, 
796,TRUE,2.19262, 
797,TRUE,2.20268, 
798,TRUE,2.21272, 
799,TRUE,2.22229, 
800,TRUE,2.23125, 
801,TRUE,2.23928, 
802,TRUE,2.24744, 
803,TRUE,2.25505, 
804,TRUE,2.26253, 
805,TRUE,2.26918, 
806,TRUE,2.27512, 
807,TRUE,2.28093, 
808,TRUE,2.28704, 
809,TRUE,2.29258, 
810,TRUE,2.29789, 
811,TRUE,2.30286, 
812,TRUE,2.30722, 
813,TRUE,2.31137, 
814,TRUE,2.31409, 
815,TRUE,2.31638, 
816,TRUE,2.3184, 
817,TRUE,2.3198, 
818,TRUE,2.32117, 
819,TRUE,2.32133, 
820,TRUE,2.32109, 
821,TRUE,2.32024, 
822,TRUE,2.3189, 
823,TRUE,2.31782, 
824,TRUE,2.31642, 
825,TRUE,2.31436, 
826,TRUE,2.3113, 
827,TRUE,2.30794, 
828,TRUE,2.30409, 
829,TRUE,2.30031, 
830,TRUE,2.29522, 
831,TRUE,2.28991, 
832,TRUE,2.28487, 
833,TRUE,2.28064, 
834,TRUE,2.27598, 
835,TRUE,2.27106, 
836,TRUE,2.26645, 
837,TRUE,2.26233, 
838,TRUE,2.25708, 
839,TRUE,2.25089, 
840,TRUE,2.24428, 
841,TRUE,2.23721, 
842,TRUE,2.23008, 
843,TRUE,2.223, 
844,TRUE,2.2161, 
845,TRUE,2.20986, 
846,TRUE,2.20461, 
847,TRUE,2.19959, 
848,TRUE,2.19522, 
849,TRUE,2.19142, 
850,TRUE,2.18817, 
851,TRUE,2.18644, 
852,TRUE,2.18615, 
853,TRUE,2.18648, 
854,TRUE,2.18753, 
855,TRUE,2.18818, 
856,TRUE,2.19018, 
857,TRUE,2.19282, 
858,TRUE,2.19587, 
859,TRUE,2.20096, 
860,TRUE,2.20719, 
861,TRUE,2.21482, 
862,TRUE,2.22346, 
863,TRUE,2.23277, 
864,TRUE,2.24294, 
865,TRUE,2.25356, 
866,TRUE,2.26468, 
867,TRUE,2.27591, 
868,TRUE,2.28696, 
869,TRUE,2.29766, 
870,TRUE,2.30846, 
871,TRUE,2.31927, 
872,TRUE,2.32966, 
873,TRUE,2.34034, 
874,TRUE,2.35057, 
875,TRUE,2.36003, 
876,TRUE,2.36931, 
877,TRUE,2.37761, 
878,TRUE,2.38618, 
879,TRUE,2.39375, 
880,TRUE,2.40057, 
881,TRUE,2.4068, 
882,TRUE,2.41182, 
883,TRUE,2.41669, 
884,TRUE,2.4207, 
885,TRUE,2.42499, 
886,TRUE,2.4279, 
887,TRUE,2.43005, 
888,TRUE,2.43087, 
889,TRUE,2.43095, 
890,TRUE,2.4307, 
891,TRUE,2.42981, 
892,TRUE,2.42806, 
893,TRUE,2.42615, 
894,TRUE,2.42479, 
895,TRUE,2.4225, 
896,TRUE,2.41924, 
897,TRUE,2.41502, 
898,TRUE,2.41114, 
899,TRUE,2.40663, 
900,TRUE,2.40094, 
901,TRUE,2.39508, 
902,TRUE,2.38962, 
903,TRUE,2.38437, 
904,TRUE,2.37774, 
905,TRUE,2.3723, 
