No,SI,Sudut,m,n,Status,
428,2.77171,2.87003,0.13153,5.14158, TRUE, 
429,2.75962,2.87264,0.128023,5.17948, TRUE, 
430,2.74593,2.87575,0.124006,5.22615, TRUE, 
431,2.731,2.87915,0.119713,5.28156, TRUE, 
432,2.7156,2.88253,0.115494,5.3441, TRUE, 
433,2.70304,2.88435,0.112891,5.39036, TRUE, 
434,2.68908,2.88648,0.109973,5.4471, TRUE, 
435,2.67531,2.88824,0.10741,5.50506, TRUE, 
436,2.66198,2.88956,0.105268,5.56167, TRUE, 
437,2.64877,2.89062,0.103376,5.6213, TRUE, 
438,2.63871,2.89056,0.102607,5.66556, TRUE, 
439,2.62866,2.8903,0.101998,5.71071, TRUE, 
440,2.61964,2.88963,0.101776,5.7538, TRUE, 
441,2.61281,2.8883,0.102219,5.78554, TRUE, 
442,2.60472,2.88715,0.102417,5.82907, TRUE, 
443,2.59778,2.8856,0.103009,5.86921, TRUE, 
444,2.59266,2.88356,0.10411,5.89911, TRUE, 
445,2.58898,2.88111,0.105625,5.92282, TRUE, 
446,2.58615,2.87845,0.107381,5.94406, TRUE, 
447,2.58547,2.87533,0.109677,5.95286, TRUE, 
448,2.58561,2.872,0.112222,5.95992, TRUE, 
449,2.5861,2.86853,0.11493,5.96947, TRUE, 
450,2.58689,2.86498,0.117744,5.9819, TRUE, 
451,2.58856,2.86126,0.120804,5.99264, TRUE, 
452,2.58989,2.85728,0.124066,6.01326, TRUE, 
453,2.59242,2.85299,0.127723,6.03085, TRUE, 
454,2.59436,2.84869,0.131369,6.06152, TRUE, 
455,2.59871,2.84394,0.13569,6.07941, TRUE, 
456,2.60547,2.83872,0.140729,6.08414, TRUE, 
457,2.61385,2.83324,0.14627,6.08265, TRUE, 
458,2.62293,2.8272,0.152474,6.08523, TRUE, 
459,2.63289,2.82077,0.159256,6.09067, TRUE, 
460,2.64529,2.81397,0.166844,6.08462, TRUE, 
461,2.6589,2.80676,0.175149,6.07928, TRUE, 
462,2.67288,2.79924,0.184004,6.08246, TRUE, 
463,2.68876,2.79106,0.193995,6.08385, TRUE, 
464,2.70644,2.78236,0.205038,6.08408, TRUE, 
465,2.72899,2.77321,0.217686,6.05484, TRUE, 
466,2.75489,2.76354,0.231893,6.01152, TRUE, 
467,2.78254,2.75382,0.247007,5.96307, TRUE, 
468,2.81348,2.74394,0.263536,5.8996, TRUE, 
469,2.84654,2.73429,0.28092,5.82703, TRUE, 
470,2.88103,2.72495,0.298966,5.74963, TRUE, 
471,2.91791,2.71587,0.318023,5.66384, TRUE, 
472,2.95154,2.7098,0.333436,5.58138, TRUE, 
473,2.98333,2.70519,0.347099,5.50504, TRUE, 
474,3.01492,2.70032,0.361442,5.43247, TRUE, 
